vendor,model_id,status
Meta,meta.llama3-2-1b-instruct-v1:0:128k,LEGACY
Meta,meta.llama3-2-3b-instruct-v1:0,LEGACY
Meta,meta.llama3-2-3b-instruct-v1:0:128k,LEGACY
Meta,meta.llama3-2-90b-instruct-v1:0,LEGACY
Meta,meta.llama3-2-90b-instruct-v1:0:128k,LEGACY
Meta,meta.llama3-3-70b-instruct-v1:0,ACTIVE
Meta,meta.llama3-3-70b-instruct-v1:0:128k,ACTIVE
Meta,meta.llama3-70b-instruct-v1:0,ACTIVE
Meta,meta.llama3-8b-instruct-v1:0,ACTIVE
Meta,meta.llama4-maverick-17b-instruct-v1:0,ACTIVE
Meta,meta.llama4-scout-17b-instruct-v1:0,ACTIVE
Meta,us.meta.llama3-1-70b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama3-1-8b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama3-2-11b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama3-2-1b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama3-2-3b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama3-2-90b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama3-3-70b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama4-maverick-17b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
Meta,us.meta.llama4-scout-17b-instruct-v1:0,INFERENCE_PROFILE/ACTIVE
MiniMax,minimax.minimax-m2,ACTIVE
MiniMax,minimax.minimax-m2.1,ACTIVE
MiniMax,minimax.minimax-m2.5,ACTIVE
Mistral,us.mistral.pixtral-large-2502-v1:0,INFERENCE_PROFILE/ACTIVE
Mistral AI,mistral.devstral-2-123b,ACTIVE
Mistral AI,mistral.magistral-small-2509,ACTIVE
Mistral AI,mistral.ministral-3-14b-instruct,ACTIVE
Mistral AI,mistral.ministral-3-3b-instruct,ACTIVE
Mistral AI,mistral.ministral-3-8b-instruct,ACTIVE
Mistral AI,mistral.mistral-7b-instruct-v0:2,ACTIVE
Mistral AI,mistral.mistral-large-2402-v1:0,ACTIVE
Mistral AI,mistral.mistral-large-2407-v1:0,ACTIVE
Mistral AI,mistral.mistral-large-3-675b-instruct,ACTIVE
Mistral AI,mistral.mixtral-8x7b-instruct-v0:1,ACTIVE
Mistral AI,mistral.pixtral-large-2502-v1:0,ACTIVE
Mistral AI,mistral.voxtral-mini-3b-2507,ACTIVE
Mistral AI,mistral.voxtral-small-24b-2507,ACTIVE
Moonshot AI,moonshot.kimi-k2-thinking,ACTIVE
Moonshot AI,moonshotai.kimi-k2.5,ACTIVE
NVIDIA,nvidia.nemotron-nano-12b-v2,ACTIVE
NVIDIA,nvidia.nemotron-nano-3-30b,ACTIVE
NVIDIA,nvidia.nemotron-nano-9b-v2,ACTIVE
NVIDIA,nvidia.nemotron-super-3-120b,ACTIVE
OpenAI,openai.gpt-oss-120b-1:0,ACTIVE
OpenAI,openai.gpt-oss-20b-1:0,ACTIVE
OpenAI,openai.gpt-oss-safeguard-120b,ACTIVE
OpenAI,openai.gpt-oss-safeguard-20b,ACTIVE
Qwen,qwen.qwen3-235b-a22b-2507-v1:0,ACTIVE
Qwen,qwen.qwen3-32b-v1:0,ACTIVE
Qwen,qwen.qwen3-coder-30b-a3b-v1:0,ACTIVE
Qwen,qwen.qwen3-coder-480b-a35b-v1:0,ACTIVE
Qwen,qwen.qwen3-next-80b-a3b,ACTIVE
Qwen,qwen.qwen3-vl-235b-a22b,ACTIVE
Stability,us.stability.stable-conservative-upscale-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-creative-upscale-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-fast-upscale-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-control-sketch-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-control-structure-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-erase-object-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-inpaint-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-remove-background-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-search-recolor-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-search-replace-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-image-style-guide-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-outpaint-v1:0,INFERENCE_PROFILE/ACTIVE
Stability,us.stability.stable-style-transfer-v1:0,INFERENCE_PROFILE/ACTIVE
Stability AI,stability.sd3-5-large-v1:0,ACTIVE
Stability AI,stability.stable-conservative-upscale-v1:0,ACTIVE
Stability AI,stability.stable-creative-upscale-v1:0,ACTIVE
Stability AI,stability.stable-fast-upscale-v1:0,ACTIVE
Stability AI,stability.stable-image-control-sketch-v1:0,ACTIVE
Stability AI,stability.stable-image-control-structure-v1:0,ACTIVE
Stability AI,stability.stable-image-core-v1:1,ACTIVE
Stability AI,stability.stable-image-erase-object-v1:0,ACTIVE
Stability AI,stability.stable-image-inpaint-v1:0,ACTIVE
Stability AI,stability.stable-image-remove-background-v1:0,ACTIVE
Stability AI,stability.stable-image-search-recolor-v1:0,ACTIVE
Stability AI,stability.stable-image-search-replace-v1:0,ACTIVE
Stability AI,stability.stable-image-style-guide-v1:0,ACTIVE
Stability AI,stability.stable-image-ultra-v1:1,ACTIVE
Stability AI,stability.stable-outpaint-v1:0,ACTIVE
Stability AI,stability.stable-style-transfer-v1:0,ACTIVE
Twelvelabs,global.twelvelabs.pegasus-1-2-v1:0,INFERENCE_PROFILE/ACTIVE
TwelveLabs,twelvelabs.pegasus-1-2-v1:0,ACTIVE
Twelvelabs,us.twelvelabs.pegasus-1-2-v1:0,INFERENCE_PROFILE/ACTIVE
Writer,us.writer.palmyra-x4-v1:0,INFERENCE_PROFILE/ACTIVE
Writer,us.writer.palmyra-x5-v1:0,INFERENCE_PROFILE/ACTIVE
Writer,writer.palmyra-vision-7b,ACTIVE
Writer,writer.palmyra-x4-v1:0,ACTIVE
Writer,writer.palmyra-x5-v1:0,ACTIVE
Z.AI,zai.glm-4.7,ACTIVE
Z.AI,zai.glm-4.7-flash,ACTIVE
Z.AI,zai.glm-5,ACTIVE
